id,paragraph_id,source_id
1,104703,8
2,104703,9
3,104705,6
4,104705,10
5,104705,11
6,104705,13
7,104706,8
8,104706,14
9,104708,5
10,104710,7
11,104713,12
12,104718,15
13,104718,18
14,104719,15
15,104719,17
16,104719,18
17,104720,20
18,104721,15
19,104723,16
20,104723,19
21,104724,16
22,104725,21
23,104726,21
24,104729,25
25,104731,22
26,104735,22
27,104738,25
28,104739,22
29,104740,22
30,104741,23
31,104742,23
32,104743,23
33,104744,23
34,104745,22
35,104746,22
36,104747,24
37,104748,23
38,104751,25
39,104752,22
40,104753,22
41,104754,22
42,104755,23
43,104756,27
44,104757,26
45,104757,28
46,104758,27
47,104758,29
48,104759,27
49,104760,27
50,104760,32
51,104761,27
52,104765,27
53,104765,30
54,104766,27
55,104771,27
56,104773,31
57,104774,27
58,104774,31
59,104779,34
60,104779,37
61,104781,33
62,104781,35
63,104781,36
64,104781,38
65,104783,35
66,104791,40
67,104792,39
68,104795,40
69,104797,40
70,104798,40
71,104799,39
72,104800,40
73,104801,40
74,104802,43
75,104802,49
76,104803,43
77,104803,49
78,104804,43
79,104804,49
80,104805,43
81,104805,49
82,104806,43
83,104806,44
84,104806,45
85,104806,49
86,104808,45
87,104809,43
88,104809,49
89,104810,48
90,104811,43
91,104811,45
92,104812,41
93,104812,43
94,104812,49
95,104813,41
96,104813,49
97,104815,49
98,104818,50
99,104820,41
100,104820,46
101,104820,47
102,104821,42
103,104822,42
104,104823,49
105,104824,49
106,104830,52
107,104832,51
108,104833,51
109,104838,53
110,104838,54
111,104839,53
112,104839,54
113,104840,54
114,104841,54
115,104843,54
116,104844,53
117,104844,54
118,104845,54
119,104847,54
120,104847,56
121,104848,53
122,104848,54
123,104849,54
124,104850,54
125,104851,54
126,104852,55
127,104861,57
128,104862,57
129,104863,57
130,104866,57
131,104867,57
132,104872,58
133,104872,62
134,104873,60
135,104874,58
136,104874,62
137,104875,58
138,104876,58
139,104877,58
140,104877,62
141,104879,62
142,104880,58
143,104881,58
144,104882,62
145,104883,58
146,104883,62
147,104884,58
148,104885,58
149,104886,58
150,104886,62
151,104887,58
152,104888,58
153,104889,58
154,104889,62
155,104890,58
156,104890,59
157,104890,62
158,104891,58
159,104891,59
160,104891,62
161,104892,60
162,104892,62
163,104893,58
164,104893,61
165,104893,62
166,104894,58
167,104894,61
168,104894,62
